Depth,P wave first break ms,"P wave first break, s","Vertical travel time, s","Average velocity, m/s","Inverval velocity (11 m interval), m/s",,,,,offset (m)
342,205.5,0.2055,0.185085274479189,1847.79691935165,1782.36613771192,,,,,
343,205.800003051758,0.205800003051758,0.185457444557687,1849.48089206151,1782.13121648016,,,,,
344,206,0.206,0.185739019101153,1852.06103523493,1727.74238030509,,,,,
345,206.300003051758,0.206300003051758,0.186110292676529,1853.73949521229,2047.42001318057,,,,,
346,206.399993896484,0.206399993896484,0.18630061277176,1857.21342969435,2168.4603960314,,,,,
347,207.100006103516,0.207100006103516,0.187032204640776,1855.29545923103,2258.7213623778,,,,,
348,208.199996948242,0.208199996948242,0.188125179943376,1849.83211766094,2307.89942567458,,,,,
349,208.5,0.2085,0.188495273116144,1851.5053148572,1910.18618252868,,,,,
350,208.600006103516,0.208600006103516,0.188684054649815,1854.95271791555,1758.94126187419,,,,,
351,209.100006103516,0.209100006103516,0.189234234773545,1854.84407945549,1630.00712485482,,,,,
352,209.300003051758,0.209300003051758,0.189512558059433,1857.3967002736,1705.9913203055,,,,,
353,209.5,0.2095,0.189790389004379,1859.94665932138,1947.0584106729,,,,,
354,210.699996948242,0.210699996948242,0.190974110890353,1853.65439508839,1881.66995534041,,,,,
355,211.5,0.2115,0.191795530846077,1850.92946865848,1820.76496428599,,,,,
356,212.100006103516,0.212100006103516,0.19243555528061,1849.96997816167,1791.78560182534,,,,,
357,212.5,0.2125,0.192893899176367,1850.75837817757,1736.2255250499,,,,,
358,212.800003051758,0.212800003051758,0.193261132694041,1852.41592558998,1658.52720825561,,,,,
359,213.300003051758,0.213300003051758,0.193809701383237,1852.33245517529,1919.01485322177,,,,,
360,213.600006103516,0.213600006103516,0.194176251718711,1853.9857310744,2187.09704381785,,,,,
361,214.199996948242,0.214199996948242,0.194815259640478,1853.03759400679,2430.49287811102,,,,,
362,214.600006103516,0.214600006103516,0.195272178486458,1853.82271456097,2234.09493113192,,,,,
363,215.100006103516,0.215100006103516,0.195819834858643,1853.74479690497,2148.13023399774,,,,,
364,215.399993896484,0.215399993896484,0.19618511797725,1855.39047891599,2192.24929185113,,,,,
365,215.5,0.2155,0.19636780166884,1858.75686796935,2193.8271441386,,,,,
366,215.600006103516,0.215600006103516,0.196549947093917,1862.1220987921,2286.49213750631,,,,,
367,216.399993896484,0.216399993896484,0.197369984709103,1859.45193511013,2387.90308092981,,,,,
368,216.899993896484,0.216899993896484,0.19791634392925,1859.37145307994,2338.26060966425,,,,,
369,217.300003051758,0.217300003051758,0.198371226405583,1860.14880628683,2391.26867428532,,,,,
370,217.600006103516,0.217600006103516,0.198734495984544,1861.78045319709,2246.02466421782,,,,,
371,218,0.218,0.199188771290033,1862.55478959603,2000.90296561848,,,,,
372,218.199996948242,0.218199996948242,0.199459953141075,1865.03603426042,2203.22908796666,,,,,
373,218.800003051758,0.218800003051758,0.200096518115705,1864.10040270823,2249.79563902979,,,,,
374,219,0.219,0.200366998544472,1866.57484873683,2298.62530083384,,,,,
375,219.399993896484,0.219399993896484,0.200820112526915,1867.34284370915,2300.29551363169,,,,,
376,220.100006103516,0.220100006103516,0.201547690698594,1865.56342420361,2351.40106931302,,,,,
377,220.399993896484,0.220399993896484,0.201908777363311,1867.17984687527,2210.10886005612,,,,,
378,220.800003051758,0.220800003051758,0.202361192086353,1867.94709056021,2211.00558229771,,,,,
379,221.100006103516,0.221100006103516,0.202721652721857,1869.55855435929,2168.56635088661,,,,,
380,221.399993896484,0.221399993896484,0.203081763516363,1871.16752100383,1779.40159635722,,,,,
381,221.699996948242,0.221699996948242,0.203441554930606,1872.77373164966,1973.49080734592,,,,,
382,222.199996948242,0.222199996948242,0.203984617143257,1872.69023198805,2048.97236564358,,,,,
383,222.800003051758,0.222800003051758,0.204619347040274,1871.76826404698,2172.95916919123,,,,,
384,223.100006103516,0.223100006103516,0.204978340040162,1873.36866873233,2218.71393355523,,,,,
385,224.600006103516,0.224600006103516,0.206439979352072,1864.94883989212,2266.46309841534,,,,,
386,224.699996948242,0.224699996948242,0.20661485390137,1868.21030875283,2267.9438369524,,,,,
387,224.800003051758,0.224800003051758,0.206789272663139,1871.47038633104,2177.9444348189,,,,,
388,224.899993896484,0.224899993896484,0.206963211370371,1874.72931750008,2269.94913552904,,,,,
389,225.100006103516,0.225100006103516,0.207228768239888,1877.152498198,2320.01771814778,,,,,
390,225.300003051758,0.225300003051758,0.207493924476315,1879.57310549841,2660.88957229657,,,,,
391,225.600006103516,0.225600006103516,0.207850835194547,1881.15674220903,2425.05932878815,,,,,
392,226.300003051758,0.226300003051758,0.208576102509059,1879.40993855216,2427.18743014642,,,,,
393,226.699996948242,0.226699996948242,0.209024732096477,1880.16028561925,2324.93931563869,,,,,
394,226.899993896484,0.226899993896484,0.209288651949324,1882.56743177552,2377.75489159445,,,,,
395,227.800003051758,0.227800003051758,0.210198121029244,1879.17950011097,2328.30785600659,,,,,
396,228.300003051758,0.228300003051758,0.210738464355469,1879.10641377758,2381.09293444858,,,,,
397,228.399993896484,0.228399993896484,0.210909267631717,1882.32600898899,2550.47060710783,,,,,
398,228.699996948242,0.228699996948242,0.211264398903626,1883.89526141392,2613.81932442525,,,,,
399,228.800003051758,0.228800003051758,0.211434416196013,1887.10999457203,2284.09569796029,,,,,
400,229.100006103516,0.229100006103516,0.211788889153861,1888.67320470909,2495.60485822799,,,,,
401,229.300003051758,0.229300003051758,0.212050587272815,1891.058191148,2683.09866572669,,,,,
402,229.699996948242,0.229699996948242,0.212496947537475,1891.79188058269,2620.39538434524,,,,,
403,230,0.23,0.21285055123652,1893.34722254107,2389.90832725945,,,,,
404,230.800003051758,0.230800003051758,0.21366675222285,1890.79487471516,2339.88131893403,,,,,
405,231.300003051758,0.231300003051758,0.214205165640906,1890.71070619717,2504.4851907335,,,,,
406,231.5,0.2315,0.214465498373166,1893.07838827096,2566.03871250757,,,,,
407,231.699996948242,0.231699996948242,0.214725485619179,1895.4433789095,2507.80101065317,,,,,
408,232.399993896484,0.232399993896484,0.215448659816875,1893.7226174755,2397.69667373243,,,,,
409,232.600006103516,0.232600006103516,0.215708137225828,1896.08053391055,2841.33675283727,,,,,
410,232.600006103516,0.232600006103516,0.215781725700469,1900.06822250151,3178.98684934112,,,,,
411,232.699996948242,0.232699996948242,0.215947644613087,1903.23909638555,3090.75099869791,,,,,
412,233.199996948242,0.233199996948242,0.216484504746966,1903.13852015209,3007.20462642451,,,,,
413,233.699996948242,0.233699996948242,0.217021220574954,1903.03970692746,3284.29228462258,,,,,
414,233.800003051758,0.233800003051758,0.217186222412371,1906.19826341442,3098.12566876311,,,,,
415,233.899993896484,0.233899993896484,0.217350821937683,1909.3555584482,3014.61772349725,,,,,
416,234.199996948242,0.234199996948242,0.217700957976418,1910.87813240152,3017.59825164998,,,,,
417,234.5,0.2345,0.218050832990665,1912.3981058942,2714.16997982666,,,,,
418,234.899993896484,0.234899993896484,0.21849345581351,1913.10077660529,2786.07091204964,,,,,
419,235.300003051758,0.235300003051758,0.218935895254118,1913.80220915199,2717.88800926806,,,,,
420,235.399993896484,0.235399993896484,0.219098895875001,1916.94256752264,2652.89440394658,,,,,
421,235.5,0.2355,0.219261538367676,1920.08139290728,2654.6155308064,,,,,
422,236.399993896484,0.236399993896484,0.220168872371075,1916.7105479323,2592.10623842559,,,,,
423,236.800003051758,0.236800003051758,0.220610504665588,1917.40642922332,2725.40458635455,,,,,
424,237,0.237,0.220865549877631,1919.71993927942,2798.22693417049,,,,,
425,237.199996948242,0.237199996948242,0.221120289725441,1922.03076672752,2729.2105096892,,,,,
426,237.5,0.2375,0.221467981819966,1923.52861347831,2478.52376408681,,,,,
427,237.899993896484,0.237899993896484,0.221908699559465,1924.21478224011,2958.41968965928,,,,,
428,238.100006103516,0.238100006103516,0.222162635813452,1926.51657391835,3133.69709529188,,,,,
429,238.399993896484,0.238399993896484,0.22250958682212,1928.00681591735,2882.86163402759,,,,,
430,238.600006103516,0.238600006103516,0.222762959150625,1930.30296257309,2809.28965624207,,,,,
431,239.100006103516,0.239100006103516,0.22329619808928,1930.17168983627,2887.04630413919,,,,,
432,239.300003051758,0.239300003051758,0.22354905539073,1932.46175540724,3053.83648999657,,,,,
433,239.5,0.2395,0.223801623556761,1934.74914577722,3056.33426684138,,,,,
434,240,0.24,0.224334325444923,1934.61254375248,2973.403157732,,,,,
435,240.300003051758,0.240300003051758,0.22467990842755,1936.08766820497,2895.04657289001,,,,,
436,240.5,0.2405,0.224931729521436,1938.36592519709,2977.28531883299,,,,,
437,240.699996948242,0.240699996948242,0.225183269115745,1940.64151264889,2749.32423731588,,,,,
438,240.899993896484,0.240899993896484,0.225434529240977,1942.91443052099,2682.03989572663,,,,,
439,241.300003051758,0.241300003051758,0.225872736543003,1943.57232625293,2902.2019058129,,,,,
440,241.600006103516,0.241600006103516,0.226217135015581,1945.0339160634,3071.33589025957,,,,,
441,242,0.242,0.226654962510259,1945.68870284514,3073.71730979036,,,,,
442,242.5,0.2425,0.227186312817218,1945.53974013219,2830.99528367506,,,,,
443,242.800003051758,0.242800003051758,0.227530128869428,1946.99489777999,2623.68556021733,,,,,
444,243,0.243,0.227779985093885,1949.24940317734,2834.45045139232,,,,,
445,243.100006103516,0.243100006103516,0.227935820629049,1952.30393701133,2913.73798786705,,,,,
446,243.300003051758,0.243300003051758,0.228185119144531,1954.55339801324,3084.21648519088,,,,,
447,243.800003051758,0.243800003051758,0.228715595735172,1954.39230352082,2998.88250391696,,,,,
448,244.300003051758,0.244300003051758,0.229245961583187,1954.23289861285,2840.61850995154,,,,,
449,244.399993896484,0.244399993896484,0.229400757290407,1957.2733991963,2698.31145784764,,,,,
450,244.600006103516,0.244600006103516,0.229649152596311,1959.51082297714,2700.14575367775,,,,,
451,244.800003051758,0.244800003051758,0.22989727706503,1961.74572294924,2571.12776095337,,,,,
452,245.399993896484,0.245399993896484,0.230520888275555,1960.7767581552,2635.85195837369,,,,,
453,245.899993896484,0.245899993896484,0.231050488947688,1960.61043654646,2774.52289060447,,,,,
454,246.300003051758,0.246300003051758,0.231486006491421,1961.24166156378,2929.4984245399,,,,,
455,246.399993896484,0.246399993896484,0.231639324407088,1964.26060715137,2931.43190998118,,,,,
456,246.800003051758,0.246800003051758,0.232074463016067,1964.88658887225,2779.81168393011,,,,,
