Depth (m),First-break time (s)
101.079,0.19652515134747858
102.1,0.19664271715251228
103.121,0.19673268428461782
104.142,0.19678901487554715
105.163,0.19685096175675101
106.184,0.19692693910127257
107.205,0.19704475256365978
108.226,0.19717999257281574
109.247,0.1973035597719114
110.268,0.19742418231429104
111.289,0.1975103259194523
112.31,0.19762727871813546
113.331,0.19778441902344465
114.352,0.19791386745508888
115.373,0.1980241489549368
116.394,0.19813258612137277
117.415,0.19816494937778503
118.436,0.19812989082249982
119.457,0.19809291788711342
120.478,0.19807916617163634
121.499,0.19818243863087764
122.52,0.1983961157039905
123.541,0.1986331304880641
124.562,0.19887362567717284
125.583,0.19911806375690108
126.604,0.19934307077295865
127.625,0.1995337148432821
128.646,0.1995238256993476
129.667,0.19927978260500248
130.688,0.1989144539384407
131.709,0.1984780617888971
132.73,0.19803197956673427
133.751,0.19759525705127418
134.772,0.197132816434648
135.793,0.1966576509000064
136.814,0.19620319986371693
137.835,0.19578049669028313
138.856,0.19544057560381672
139.877,0.1952612259578028
140.898,0.19518708834753398
141.919,0.1951350465151189
142.94,0.19509013779026696
143.961,0.19506727653874587
144.982,0.19508256978304173
146.003,0.19510512275892228
147.024,0.19511331595884995
148.045,0.1951301765052478
149.066,0.19516825231972632
150.087,0.19521151995929323
151.108,0.19526928040314934
152.129,0.19535638082472256
153.15,0.1954506348748789
154.171,0.19555210682571134
155.192,0.1956606518488411
156.213,0.19576945222936287
157.234,0.19587880823473822
158.255,0.19597349733732555
159.276,0.19606772656271376
160.297,0.19616876955137943
161.318,0.19626929727310283
162.339,0.19637726912885567
163.36,0.19652208694042483
164.381,0.1966665031517415
165.402,0.1967812079251381
166.423,0.19685827716141371
167.444,0.19690761793109693
168.465,0.1969718184411863
169.486,0.19704341157499847
170.507,0.1971293264915833
171.528,0.19723748002223943
172.549,0.19730794371183552
173.57,0.19732965644221118
174.591,0.19735220230525635
175.612,0.19741756326605664
176.633,0.19753375298155043
177.654,0.19767201866110948
178.675,0.19780318810180275
179.696,0.1979271069200499
180.717,0.1980290238101457
181.738,0.19810311340500797
182.759,0.19817702796832687
183.78,0.19826521781465697
184.801,0.1983609954005533
185.822,0.19843535377627708
