Depth (DAS),interval velocity,interval traveltime,fb,trace#,Depth,P wave first break ms,"P wave first break, s","Vertical travel time, s","Average velocity, m/s","Inverval velocity (11 m interval), m/s",,,,,offset (m)
222.578,1954.66427392875,0.000522340339268513,0.124620274131257,219,218,152.600006103516,0.152600006103516,0.121676960114652,1791.62924348691,1973.02341138589,,,,,
223.599,1958.36419329074,0.000521353486495469,0.125141627617752,220,219,153,0.153,0.122198832173757,1792.16115329645,2008.9225306735,,,,,
224.62,2025.5222573103,0.000504067529406355,0.125645695147159,221,220,153.100006103516,0.153100006103516,0.122480004882813,1796.21155477984,2012.47750539895,,,,,
225.641,1904.3971178554,0.00053612767548703,0.126181822822646,222,221,154.600006103516,0.154600006103516,0.12388151014538,1783.96275393032,2015.49144444095,,,,,
226.662,2292.05876544458,0.000445451057098855,0.126627273879744,223,222,154.699996948242,0.154699996948242,0.12416151889739,1787.99359069911,1954.66427392875,,,,,
227.683,2298.25917208467,0.000444249287635347,0.12707152316738,224,223,154.899993896484,0.154899993896484,0.124520445040928,1790.87056689127,1958.36419329074,,,,,
228.704,2261.26769531793,0.000451516643568569,0.127523039810948,225,224,155,0.155,0.124797656670304,1794.90549723841,2025.5222573103,,,,,
229.725,2147.75398441078,0.000475380330992668,0.127998420141941,226,225,155.300003051758,0.155300003051758,0.125234698317344,1796.62667793435,1904.3971178554,,,,,
230.746,2271.73608720091,0.000449436008765436,0.128447856150706,227,226,155.699996948242,0.155699996948242,0.125751562187798,1797.19437331912,2292.05876544458,,,,,
231.767,2012.90192605047,0.000507227891625762,0.128955084042332,228,227,156.300003051758,0.156300003051758,0.12642953278963,1795.46657328643,2298.25917208467,,,,,
232.788,1981.94521447139,0.000515150465585549,0.129470234507918,229,228,156.5,0.1565,0.12678326262685,1798.34463379486,2261.26769531793,,,,,
233.809,1953.6206023981,0.000522619386152418,0.12999285389407,230,229,156.699996948242,0.156699996948242,0.127135830502909,1801.22314137682,2147.75398441078,,,,,
234.83,1957.00134762912,0.00052171655437893,0.130514570448449,231,230,157.199996948242,0.157199996948242,0.127731010519316,1800.65904955177,2271.73608720091,,,,,
235.851,2024.39834162968,0.000504347380159425,0.131018917828609,232,231,157.600006103516,0.157600006103516,0.128244400028817,1801.24824123388,2012.90192605047,,,,,
236.872,2061.61517168355,0.000495242765974708,0.131514160594583,233,232,157.699996948242,0.157699996948242,0.128512638266982,1805.26991841864,1981.94521447139,,,,,
237.893,2065.92369994249,0.000494209926546855,0.13200837052113,234,233,158,0.158,0.128942743214959,1807.00359082301,1953.6206023981,,,,,
238.914,1876.50211237215,0.000544097442400069,0.13255246796353,235,234,158.399993896484,0.158399993896484,0.129453683418518,1807.59630642172,1957.00134762912,,,,,
